timestamp,SettlementPoint,SettlementPointPrice
2025-12-02 16:00:00,LZ_NORTH,8.31
2025-12-02 16:00:00,HB_SOUTH,28.0
2025-12-02 16:00:00,HB_WEST,3.14
2025-12-02 16:00:00,HB_HOUSTON,15.19
2025-12-02 16:00:00,LZ_HOUSTON,15.79
2025-12-02 16:00:00,HB_NORTH,8.0
2025-12-02 17:00:00,HB_HOUSTON,30.54
2025-12-02 17:00:00,HB_NORTH,23.39
2025-12-02 17:00:00,HB_SOUTH,43.41
2025-12-02 17:00:00,HB_WEST,14.8
2025-12-02 17:00:00,LZ_HOUSTON,31.14
2025-12-02 17:00:00,LZ_NORTH,23.26
2025-12-02 17:00:00,LZ_SOUTH,44.03
2025-12-02 17:00:00,LZ_WEST,18.21
2025-12-02 18:00:00,LZ_SOUTH,61.91
2025-12-02 18:00:00,LZ_WEST,45.47
2025-12-02 18:00:00,LZ_NORTH,34.22
2025-12-02 18:00:00,HB_WEST,34.64
2025-12-02 18:00:00,HB_SOUTH,59.49
2025-12-02 18:00:00,HB_NORTH,34.69
2025-12-02 18:00:00,HB_HOUSTON,44.2
2025-12-02 18:00:00,LZ_HOUSTON,44.89
2025-12-02 19:00:00,LZ_WEST,46.8
2025-12-02 19:00:00,LZ_SOUTH,68.63
2025-12-02 19:00:00,LZ_NORTH,36.08
2025-12-02 19:00:00,HB_HOUSTON,46.86
2025-12-02 19:00:00,HB_WEST,33.38
2025-12-02 19:00:00,HB_SOUTH,65.83
2025-12-02 19:00:00,LZ_HOUSTON,47.72
2025-12-02 19:00:00,HB_NORTH,36.99
2025-12-02 20:00:00,HB_HOUSTON,45.19
2025-12-02 20:00:00,HB_NORTH,35.12
2025-12-02 20:00:00,HB_SOUTH,66.04
2025-12-02 20:00:00,HB_WEST,24.22
2025-12-02 20:00:00,LZ_HOUSTON,46.15
2025-12-02 20:00:00,LZ_NORTH,33.48
2025-12-02 20:00:00,LZ_SOUTH,69.6
2025-12-02 20:00:00,LZ_WEST,41.43
2025-12-02 21:00:00,LZ_SOUTH,59.15
2025-12-02 21:00:00,LZ_NORTH,28.94
2025-12-02 21:00:00,LZ_WEST,31.72
2025-12-02 21:00:00,HB_SOUTH,56.64
2025-12-02 21:00:00,LZ_HOUSTON,40.39
2025-12-02 21:00:00,HB_WEST,14.01
